"","InputCategories","UserDefinedCategories","Type","NumOverlap","Pvalues","CorrectedPvalues"
"1","black","AstroByothersCuffdiff2FCover20__","User",0,1,1
"2","black","EndotheByothersCuffdiff2FCover20__","User",4,0.50918891142437,1
"3","black","MicrogliByothersCuffdiff2FCover20__","User",74,1.03866362076556e-61,7.99770987989483e-60
"4","black","MyeOligoByothersCuffdiff2FCover20__","User",0,1,1
"5","black","NeuronByothersCuffdiff2FCover20__","User",2,0.930680672853468,1
"6","black","NewOligoByothersCuffdiff2FCover20__","User",0,1,1
"7","black","PreOligoByothersCuffdiff2FCover20__","User",0,1,1
"8","blue","AstroByothersCuffdiff2FCover20__","User",23,0.0172035390117481,1
"9","blue","EndotheByothersCuffdiff2FCover20__","User",42,1.42984650702799e-09,1.10098181041156e-07
"10","blue","MicrogliByothersCuffdiff2FCover20__","User",42,0.0181833953370649,1
"11","blue","MyeOligoByothersCuffdiff2FCover20__","User",11,0.236462885697817,1
"12","blue","NeuronByothersCuffdiff2FCover20__","User",12,0.946653768549109,1
"13","blue","NewOligoByothersCuffdiff2FCover20__","User",1,0.915270146055855,1
"14","blue","PreOligoByothersCuffdiff2FCover20__","User",5,0.120960846731434,1
"15","brown","AstroByothersCuffdiff2FCover20__","User",15,0.285643579156518,1
"16","brown","EndotheByothersCuffdiff2FCover20__","User",13,0.600011804242101,1
"17","brown","MicrogliByothersCuffdiff2FCover20__","User",29,0.342596587211332,1
"18","brown","MyeOligoByothersCuffdiff2FCover20__","User",10,0.219596752565835,1
"19","brown","NeuronByothersCuffdiff2FCover20__","User",9,0.977161147656179,1
"20","brown","NewOligoByothersCuffdiff2FCover20__","User",4,0.154464951885569,1
"21","brown","PreOligoByothersCuffdiff2FCover20__","User",1,0.908755528467523,1
"22","green","AstroByothersCuffdiff2FCover20__","User",9,0.312147285746327,1
"23","green","EndotheByothersCuffdiff2FCover20__","User",17,0.00208897104178079,0.16085077021712
"24","green","MicrogliByothersCuffdiff2FCover20__","User",16,0.476701678668973,1
"25","green","MyeOligoByothersCuffdiff2FCover20__","User",9,0.0300813851116104,1
"26","green","NeuronByothersCuffdiff2FCover20__","User",8,0.684760047548705,1
"27","green","NewOligoByothersCuffdiff2FCover20__","User",1,0.709040065724484,1
"28","green","PreOligoByothersCuffdiff2FCover20__","User",2,0.390331243213513,1
"29","greenyellow","AstroByothersCuffdiff2FCover20__","User",7,0.000667432155064788,0.0513922759399887
"30","greenyellow","EndotheByothersCuffdiff2FCover20__","User",3,0.215554965184148,1
"31","greenyellow","MicrogliByothersCuffdiff2FCover20__","User",3,0.620929166349263,1
"32","greenyellow","MyeOligoByothersCuffdiff2FCover20__","User",0,1,1
"33","greenyellow","NeuronByothersCuffdiff2FCover20__","User",2,0.556146469673154,1
"34","greenyellow","NewOligoByothersCuffdiff2FCover20__","User",0,1,1
"35","greenyellow","PreOligoByothersCuffdiff2FCover20__","User",2,0.0306405971822269,1
"36","magenta","AstroByothersCuffdiff2FCover20__","User",2,0.630497368257709,1
"37","magenta","EndotheByothersCuffdiff2FCover20__","User",1,0.90048762148439,1
"38","magenta","MicrogliByothersCuffdiff2FCover20__","User",2,0.943003716176498,1
"39","magenta","MyeOligoByothersCuffdiff2FCover20__","User",0,1,1
"40","magenta","NeuronByothersCuffdiff2FCover20__","User",4,0.261587482795963,1
"41","magenta","NewOligoByothersCuffdiff2FCover20__","User",0,1,1
"42","magenta","PreOligoByothersCuffdiff2FCover20__","User",0,1,1
"43","pink","AstroByothersCuffdiff2FCover20__","User",2,0.722445030826046,1
"44","pink","EndotheByothersCuffdiff2FCover20__","User",2,0.755316732453976,1
"45","pink","MicrogliByothersCuffdiff2FCover20__","User",2,0.972523885757061,1
"46","pink","MyeOligoByothersCuffdiff2FCover20__","User",0,1,1
"47","pink","NeuronByothersCuffdiff2FCover20__","User",5,0.19582854063593,1
"48","pink","NewOligoByothersCuffdiff2FCover20__","User",1,0.34226320123304,1
"49","pink","PreOligoByothersCuffdiff2FCover20__","User",1,0.371469576298642,1
"50","purple","AstroByothersCuffdiff2FCover20__","User",1,0.837089831793903,1
"51","purple","EndotheByothersCuffdiff2FCover20__","User",1,0.856025500898879,1
"52","purple","MicrogliByothersCuffdiff2FCover20__","User",4,0.520217080002367,1
"53","purple","MyeOligoByothersCuffdiff2FCover20__","User",0,1,1
"54","purple","NeuronByothersCuffdiff2FCover20__","User",0,1,1
"55","purple","NewOligoByothersCuffdiff2FCover20__","User",0,1,1
"56","purple","PreOligoByothersCuffdiff2FCover20__","User",0,1,1
"57","red","AstroByothersCuffdiff2FCover20__","User",2,0.973254448054165,1
"58","red","EndotheByothersCuffdiff2FCover20__","User",1,0.997250314396608,1
"59","red","MicrogliByothersCuffdiff2FCover20__","User",6,0.973632964036149,1
"60","red","MyeOligoByothersCuffdiff2FCover20__","User",3,0.622861303076448,1
"61","red","NeuronByothersCuffdiff2FCover20__","User",11,0.0658756276570896,1
"62","red","NewOligoByothersCuffdiff2FCover20__","User",1,0.593395501784985,1
"63","red","PreOligoByothersCuffdiff2FCover20__","User",3,0.0743786766744831,1
"64","turquoise","AstroByothersCuffdiff2FCover20__","User",35,0.976673943974564,1
"65","turquoise","EndotheByothersCuffdiff2FCover20__","User",28,0.999908556845189,1
"66","turquoise","MicrogliByothersCuffdiff2FCover20__","User",54,0.999999972862641,1
"67","turquoise","MyeOligoByothersCuffdiff2FCover20__","User",28,0.478280138796762,1
"68","turquoise","NeuronByothersCuffdiff2FCover20__","User",91,4.99759307394701e-07,3.8481466669392e-05
"69","turquoise","NewOligoByothersCuffdiff2FCover20__","User",7,0.661915098080329,1
"70","turquoise","PreOligoByothersCuffdiff2FCover20__","User",9,0.473859155651331,1
"71","yellow","AstroByothersCuffdiff2FCover20__","User",2,0.997126501801001,1
"72","yellow","EndotheByothersCuffdiff2FCover20__","User",2,0.998241271189114,1
"73","yellow","MicrogliByothersCuffdiff2FCover20__","User",14,0.773709565342536,1
"74","yellow","MyeOligoByothersCuffdiff2FCover20__","User",5,0.498429648463402,1
"75","yellow","NeuronByothersCuffdiff2FCover20__","User",3,0.996974562908937,1
"76","yellow","NewOligoByothersCuffdiff2FCover20__","User",0,1,1
"77","yellow","PreOligoByothersCuffdiff2FCover20__","User",2,0.422171534944503,1
